"ລາຍວິຊາຮຽນ 2023-2024","","","","","","","","","","","","",""
"573","205FS111","ສະຖິຕິ​ພື້ນຖານ","3(2-2-5)","BSCPH","2","1","2","2023-2024","3","3","","",""
"574","205ME221x","ກົນລະສາດ 1","3(2-2-5)","BSCPH","2","1","12","2023-2024","3","3","","",""
"575","205ML221","ທົດລອງກົນລະສາດ ແລະ ຄວາມຮ້ອນ","2(0-4-2)","BSCPH","2","1","12","2023-2024","2","2","","",""
"576","205PP211","ໂປຣແກຣມສໍຳລັບຟີຊິກ 1","2(1-2-3)","BSCPH","2","1","2","2023-2024","2","2","","",""
"577","205TM221","ຄວາມຮ້ອນ ແລະ ທິດສະດີເດີນເຄື່ອນ","3(2-2-5)","BSCPH","2","1","12","2023-2024","3","3","","39",""
"600","015ND201","ສຶກສາປ້ອງກັນຕົວ(ບໍ່ໄດ້ຈ່າຍຄ່າໜ່ວຍກິດ)","3(0-2-7)  ","BSCPH","2","2","1","2023-2024","3","3","21","",""
"601","205AL221x","ທົດລອງຟີຊິກອາຕອມ","1(0-2-1)","BSCPH","2","2","12","2023-2024","1","1","","",""
"602","205AP221x","ຟີຊິກອາຕອມ","3(2-2-5)","BSCPH","2","2","12","2023-2024","3","3","","",""
"603","205EL221","ທົດລອງອີເລັກໂຕຣນິກ 1","1(0-2-1)","BSCPH","2","2","12","2023-2024","1","1","","",""
"604","205EP212","ພາສາອັງກິດສຳລັບຟີຊິກ 2","2(0-4-2)","BSCPH","2","2","2","2023-2024","2","2","","",""
"605","205ET221","ອີເລັກໂຕຣນິກ 1","3(2-2-5)","BSCPH","2","2","12","2023-2024","3","3","","",""
"606","205MP211","ຄະນິດສາດສໍາລັບຟີຊິກ","3(2-2-5)","BSCPH","2","2","2","2023-2024","3","3","","",""
"607","205PP212","ໂປຣແກຣມສໍຳລັບຟີຊິກ 2","2(1-2-3)","BSCPH","2","2","2","2023-2024","2","2","","",""
"608","205SE221","ທາດເຄິ່ງຊັກນໍາ","3(2-2-5)","BSCPH","2","2","12","2023-2024","3","3","","",""
"578","205EL322","ທົດລອງອີເລັກໂຕຣນິກ 2","1(0-3-1)","BSCPH","3","1","12","2023-2024","1","1","17","",""
"579","205EM321x","ໄຟຟ້າແມ່ເຫຼັກ 1","3(2-2-5)","BSCPH","3","1","12","2023-2024","3","3","","",""
"580","205ET322","ອີເລັກໂຕຣນິກ 2","3(2-2-5)","BSCPH","3","1","12","2023-2024","3","3","","",""
"581","205OL321","ທົດລອງຟີຊິກແສງສະຫວ່າງ-ໄຟຟ້າແມ່ເຫຼັກ","2(0-4-2)","BSCPH","3","1","12","2023-2024","2","2","","",""
"582","205OP321","ຟີຊິກແສງສະຫວ່າງ","3(2-2-5)","BSCPH","3","1","12","2023-2024","3","3","","",""
"583","205QM321","ກົນລະສາດຄວານຕັມ","3(2-2-5)","BSCPH","3","1","12","2023-2024","3","3","","",""
"584","205RP311","ວິທີການຄົ້ນຄວ້າ","2(2-0-4)","BSCPH","3","1","12","2023-2024","2","2","","34",""
"609","115HR223","ມະນຸດ​ສຳພັນ","2(2-0-4)","BSCPH","3","2","1","2023-2024","2","2","17","",""
"610","205EM322","​ໄຟຟ້າແມ່ເຫຼັກ 2  ","3(2-2-5)","BSCPH","3","2","12","2023-2024","3","3","","",""
"611","205NP321","ຟີຊິກນິວເຄລຍ","3(2-2-5)","BSCPH","3","2","12","2023-2024","3","3","","",""
"612","205PE321x","ຟີຊິກພະລັງງານ","3(2-2-5)","BSCPH","3","2","12","2023-2024","3","3","","",""
"613","205SC321x","ໂຊລາເຊລ","3(2-2-5)","BSCPH","3","2","12","2023-2024","3","3","","",""
"614","205SL321","ຟີຊິກວັດຖຸແຂງ","3(2-2-5)","BSCPH","3","2","12","2023-2024","3","3","","",""
"585","115PO401","ວິຊາການ​ເມືອງ","2(2-0-4)","BSCPH","4","1","1","2023-2024","2","2","19","",""
"587","205AS421","ດາລາສາດ  (Astronomy)","3(2-2-5)","BSCPH","4","1","12","2023-2024","3","3","","",""
"588","205EP421","ຟີຊິກສິ່ງແວດລ້ອມ","3(2-2-5)","BSCPH","4","1","12","2023-2024","3","3","","",""
"589","205RE422","ພະລັງງານທົດແທນ","3(2-2-5)","BSCPH","4","1","12","2023-2024","3","3","","",""
"590","205SP421","ສໍາມະນາ","2(1-2-3)","BSCPH","4","1","12","2023-2024","2","2","","",""
"591","205SP421x","ຟີຊິກສະຖິຕິ","3(2-2-5)","BSCPH","4","1","12","2023-2024","3","3","","28",""
"","205MI221","ແຮ່ສາດ-ສີລາສາດ","3(2-2-5)","BSCPH","4","1","12","2023-2025","3","3","","",""
"615","205FP421","ບົດໂຄງການຈົບຊັ້ນ","6(0-0-30)","BSCPH","4","2","12","2023-2024","6","6","9","",""
"616","205TR421","ລົງເຝິກງານ","3(0-0-9)","BSCPH","4","2","12","2023-2024","3","3","","",""
"617","115LS101","ລາວສຶກສາ1","2(2-0-4)","BSCPHGO","1","1","1","2023-2024","2","2","17","",""
"618","145PY101","ຈິດຕະວິທະຍາ​ທົ່ວ​ໄປ","2(2-0-4)","BSCPHGO","1","1","1","2023-2024","2","2","","",""
"619","205CA111","​ແຄລຄູ​ລັດສ໌ 1","3(2-2-5)","BSCPHGO","1","1","2","2023-2024","3","3","","",""
"620","205CH111","ເຄມີສາດ 1","3(3-0-6)","BSCPHGO","1","1","2","2023-2024","3","3","","",""
"621","205CL111","ທົດລອງເຄມີສາດ 1","1(0-3-1)","BSCPHGO","1","1","2","2023-2024","1","1","","",""
"622","205ES101","ພາສາອັງກິດສໍາລັບວິທະຍາສາດ 1","2(0-4-2)","BSCPHGO","1","1","1","2023-2024","2","2","","",""
"623","205PH111","ຟີ​ຊິກ​ສາດ1","3(2-2-5)","BSCPHGO","1","1","2","2023-2024","3","3","","",""
"624","205PL111","ທົດລອງຟີຊິກສາດ 1","1(0-2-1)","BSCPHGO","1","1","2","2023-2024","1","1","","35",""
"647","135LS102","ລາວ​ສຶກສາ2","2(2-0-4)","BSCPHGO","1","2","1","2023-2024","2","2","18","",""
"648","205CA112","ແຄນ​ຄູ​ລັດ​ສ໌ 2","3(2-2-5)","BSCPHGO","1","2","2","2023-2024","3","3","","",""
"649","205CF111","ຄອມພີວເຕີພື້ນຖານ","3(2-2-5)","BSCPHGO","1","2","2","2023-2024","3","3","","",""
"650","205CH112","​ເຄມີ​ສາດ2","3(3-0-6)","BSCPHGO","1","2","2","2023-2024","3","3","","",""
"651","205CL112","ທົດ​ລອງ​ເຄມີ​ສາດ2","1(0-2-1)","BSCPHGO","1","2","2","2023-2024","1","1","","",""
"652","205ES102","ພາສາອັງກິດສໍາລັບວິທະຍາສາດ2","2(0-4-2)","BSCPHGO","1","2","1","2023-2024","2","2","","",""
"653","205PH112","ຟີ​ຊິກ​ສາດ2","3(3-0-6)","BSCPHGO","1","2","2","2023-2024","3","3","","",""
"654","205PL112","ທົດ​ລອງ​ຟີ​ຊິກ​ສາດ2","1(0-2-1)","BSCPHGO","1","2","2","2023-2024","1","1","","",""
"625","205EP211","ພາສາອັງກິດສຳລັບຟີຊິກ 1","2(0-4-2)","BSCPHGO","2","1","2","2023-2024","2","2","20","",""
"626","205FS111","ສະຖິຕິ​ພື້ນຖານ","3(2-2-5)","BSCPHGO","2","1","2","2023-2024","3","3","","",""
"627","205GG211","ທໍລະນີວິທະຍາທົ່ວໄປ","3(2-2-5)","BSCPHGO","2","1","12","2023-2024","3","3","","",""
"628","205GP221","ການສຳຫຼວດດ້ານທົ່ງດຶງດູດ","3(2-2-5)","BSCPHGO","2","1","12","2023-2024","3","3","","",""
"629","205MI221x","ແຮ່ສາດ-ສີລາສາດ","3(2-2-5)","BSCPHGO","2","1","2","2023-2024","3","3","","",""
"630","205MP211","ຄະນິດສາດສໍາລັບຟີຊິກ","3(2-2-5)","BSCPHGO","2","1","2","2023-2024","3","3","","",""
"631","205MP221","ການສຳຫຼວດດ້ານທົ່ງແມ່ເຫຼັກ","3(2-2-5)","BSCPHGO","2","1","2","2023-2024","3","3","","39",""
"655","015ND201","ສຶກສາປ້ອງກັນຕົວ(ບໍ່ໄດ້ຈ່າຍຄ່າໜ່ວຍກິດ)","3(0-2-7)  ","BSCPHGO","2","2","1","2023-2024","3","3","19","",""
"656","205EP212","ພາສາອັງກິດສຳລັບຟີຊິກ 2","2(0-4-2)","BSCPHGO","2","2","2","2023-2024","2","2","","",""
"657","205EP221","ການສຳຫຼວດທໍລະນີໄຟຟ້າ","3(2-2-5)","BSCPHGO","2","2","12","2023-2024","3","3","","",""
"658","205GM211","ການສ້າງແຜນທີ່ທໍລະນີວິທະຍາ","1(0-2-1) ","BSCPHGO","2","2","12","2023-2024","1","1","","",""
"659","205HG221","ອຸທົກທໍລະນີວິທະຍາ","3(2-2-5)","BSCPHGO","2","2","12","2023-2024","3","3","","",""
"660","205MD221","ການປະມວນຜົນຂໍ້ມູນການສໍາຫຼວດທົ່ງແມ່ເຫຼັກ","1(0-2-1) ","BSCPHGO","2","2","12","2023-2024","1","1","","",""
"661","205SG221","ໂຄງສ້າງທໍລະນີວິທະຍາ","3(2-2-5)","BSCPHGO","2","2","12","2023-2024","3","3","","",""
"662","205SR221","ການສຳຫຼວດຄື້ນສັ່ນສະເທືອນແບບຫັກ","3(2-2-5)","BSCPHGO","2","2","12","2023-2024","3","3","","",""
"632","205DP321","ທໍລະນີເດີນເຄື່ອນ ແລະ ແມ່ເຫຼັກດຶກດຳບັນ","3(3-0-6)","BSCPHGO","3","1","12","2023-2024","3","3","19","",""
"633","205ED321","ການປະມວນຜົນຂໍ້ມູນການສຳຫຼວດທໍລະນີໄຟຟ້າ","1(0-2-1)","BSCPHGO","3","1","12","2023-2024","1","1","","",""
"634","205EM321xx","ການສຳຫຼວດດ້ານໄຟຟ້າແມ່ເຫຼັກ 1","3(2-2-5)","BSCPHGO","3","1","12","2023-2024","3","3","","",""
"635","205RP311","ວິທີການຄົ້ນຄວ້າ","2(2-0-4)","BSCPHGO","3","1","12","2023-2024","2","2","","",""
"636","205RP321","ການສຳຫຼວດດ້ານກຳມັນຕະພາບລັງສີ","3(2-2-5)","BSCPHGO","3","1","12","2023-2024","3","3","","",""
"637","205SP321x","ການສຳຫຼວດຄື້້ນສັ່່ນສະເທືອນແບບສະທ້ອນ","3(2-2-5)","BSCPHGO","3","1","12","2023-2024","3","3","","",""
"638","205SR311","ຄວາມປອດໄພ ແລະ ການບໍລິຫານຄວາມສ່ຽງ","1(0-2-1)","BSCPHGO","3","1","12","2023-2024","1","1","","",""
"639","205SV321","ພື້້ນຖານການການວັດແທກ","3(2-2-5)","BSCPHGO","3","1","2","2023-2024","3","3","","36",""
"663","115HR303","ມະນຸດສຳພັນ","2(2-0-4)","BSCPHGO","3","2","1","2023-2024","2","2","17","",""
"664","205EM322x","ການສຳຫຼວດດ້ານໄຟຟ້າແມ່ເຫຼັກ 2","3(2-2-5)","BSCPHGO","3","2","12","2023-2024","3","3","","",""
"665","205FW321x","ທໍລະນີຟີຊິກພາກສະໜາມ","1(0-2-1)","BSCPHGO","3","2","12","2023-2024","1","1","","",""
"666","205GI321","ລະບົບການຈັດການຂໍ້ມູນຂ່າວສານພູມິສາດ","3(2-2-5)","BSCPHGO","3","2","12","2023-2024","3","3","","",""
"667","205GL321","ຮູເຈາະທໍລະນີຟີຊິກ","3(3-0-6)","BSCPHGO","3","2","12","2023-2024","3","3","","",""
"668","205LM321","ກົດໝາຍວ່າດ້ແຮ່ທາດ","2(2-0-4)","BSCPHGO","3","2","12","2023-2024","2","2","","",""
"669","205SM321xx","ແຜ່ນດິນໄຫວວິທະຍາ","3(2-2-5)","BSCPHGO","3","2","12","2023-2024","3","3","","",""
"672","115LS101","ລາວສຶກສາ1","2(2-0-4)","BSCPHMR","1","1","1","2023-2024","2","2","17","",""
"673","145PY101","ຈິດຕະວິທະຍາ​ທົ່ວ​ໄປ","2(2-0-4)","BSCPHMR","1","1","1","2023-2024","2","2","","",""
"674","205CA111","​ແຄລຄູ​ລັດສ໌ 1","3(2-2-5)","BSCPHMR","1","1","2","2023-2024","3","3","","",""
"675","205CH111","ເຄມີສາດ 1","3(3-0-6)","BSCPHMR","1","1","2","2023-2024","3","3","","",""
"676","205CL111","ທົດລອງເຄມີສາດ 1","1(0-3-1)","BSCPHMR","1","1","2","2023-2024","1","1","","",""
"677","205ES101","ພາສາອັງກິດສໍາລັບວິທະຍາສາດ 1","2(0-4-2)","BSCPHMR","1","1","2","2023-2024","2","2","","",""
"678","205PH111","ຟີ​ຊິກ​ສາດ1","3(2-2-5)","BSCPHMR","1","1","2","2023-2024","3","3","","",""
"679","205PL111","ທົດລອງຟີຊິກສາດ 1","1(0-2-1)","BSCPHMR","1","1","2","2023-2024","1","1","","35",""
"699","135LS102","ລາວ​ສຶກສາ2","2(2-0-4)","BSCPHMR","1","2","1","2023-2024","2","2","18","",""
"700","205CA112","ແຄນ​ຄູ​ລັດ​ສ໌ 2","3(2-2-5)","BSCPHMR","1","2","2","2023-2024","3","3","","",""
"701","205CF111","ຄອມພີວເຕີພື້ນຖານ","3(2-2-5)","BSCPHMR","1","2","2","2023-2024","3","3","","",""
"702","205CH112","​ເຄມີ​ສາດ2","3(3-0-6)","BSCPHMR","1","2","2","2023-2024","3","3","","",""
"703","205CL112","ທົດ​ລອງ​ເຄມີ​ສາດ2","1(0-2-1)","BSCPHMR","1","2","2","2023-2024","1","1","","",""
"704","205ES102","ພາສາອັງກິດສໍາລັບວິທະຍາສາດ2","2(0-4-2)","BSCPHMR","1","2","1","2023-2024","2","2","","",""
"705","205PH112","ຟີ​ຊິກ​ສາດ2","3(3-0-6)","BSCPHMR","1","2","2","2023-2024","3","3","","",""
"706","205PL112","ທົດ​ລອງ​ຟີ​ຊິກ​ສາດ2","1(0-2-1)","BSCPHMR","1","2","2","2023-2024","1","1","","",""
"680","205EP211","ພາສາອັງກິດສຳລັບຟີຊິກ 1","2(0-4-2)","BSCPHMR","2","1","2","2023-2024","2","2","20","",""
"681","205IM221x","ວັດສະດຸສາດເບື້ອງຕົ້ນ","3(2-2-5)","BSCPHMR","2","1","2","2023-2024","3","3","","",""
"682","205ME221xxx","ກົນລະສາດ1","3(2-2-5)","BSCPHMR","2","1","12","2023-2024","3","3","","",""
"683","205ML221x","ທົດລອງວັດສະດຸສາດ1","1(0-3-1)","BSCPHMR","2","1","12","2023-2024","1","1","","",""
"684","205MP211","ຄະນິດສາດສໍາລັບຟີຊິກ","3(2-2-5)","BSCPHMR","2","1","2","2023-2024","3","3","","",""
"685","205MP221x","ຄຸນສົມບັດກົນລະສາດ ຂອງວັດສະດຸ","3(2-2-5)","BSCPHMR","2","1","12","2023-2024","3","3","","",""
"686","205PP211","ໂປຣແກຣມສໍຳລັບຟີຊິກ 1","2(1-2-3)","BSCPHMR","2","1","2","2023-2024","2","2","","",""
"687","205SL221x","ຟີຊິກວັດຖຸແຂງ","3(2-2-5)","BSCPHMR","2","1","12","2023-2024","3","3","","40",""
"707","205EM223x","ຄຸນສົມບັດໄຟຟ້າ, ແມ່ເຫຼັກ ແລະ ແສງຂອງວັດສະດຸ","3(2-2-5)","BSCPHMR","2","2","2","2023-2024","3","3","20","",""
"708","205EM321xxx","ໄຟຟ້າແມ່ເຫຼັກ1","3(2-2-5)","BSCPHMR","2","2","12","2023-2024","3","3","","",""
"709","205EP212","ພາສາອັງກິດສຳລັບຟີຊິກ 2","2(0-4-2)","BSCPHMR","2","2","2","2023-2024","2","2","","",""
"710","205ET221","ອີເລັກໂຕຣນິກ 1","3(2-2-5)","BSCPHMR","2","2","12","2023-2024","3","3","","",""
"711","205ML222x","ທົດລອງວັດສະດຸສາດ2","1(0-3-1)","BSCPHMR","2","2","12","2023-2024","1","1","","",""
"712","205ND201","ສຶກສາປ້ອງກັນຕົວ","3(0-2-7)","BSCPHMR","2","2","1","2023-2024","3","3","","",""
"713","205PP212","ໂປຣແກຣມສໍຳລັບຟີຊິກ 2","2(1-2-3)","BSCPHMR","2","2","2","2023-2024","2","2","","",""
"714","205TM221x","ຄວາມຮ້ອນເດີນເຄື່ອນຂອງວັດສະດຸ","3(2-2-5)","BSCPHMR","2","2","12","2023-2024","3","3","","",""
"689","205AP321x","ຟີຊິກອາຕອມ","3(2-2-5)","BSCPHMR","3","1","12","2023-2024","3","3","20","",""
"690","205CP321","ວັດສະດຸປະສົມ","3(2-2-5)","BSCPHMR","3","1","12","2023-2024","3","3","","",""
"691","205EP321","ຄວາມສົມດຸນທາງເຟສຂອງວັດສະດຸ","3(2-2-5)","BSCPHMR","3","1","12","2023-2024","3","3","","",""
"692","205IC321","ເຊຣາມິກເບື້ອງຕົ້ນ","3(2-2-5)","BSCPHMR","3","1","12","2023-2024","3","3","","",""
"693","205MA321","ໂລຫະ ແລະ ໂລຫະປະສົມ","3(2-2-5)","BSCPHMR","3","1","12","2023-2024","3","3","","",""
"694","205PS321","ວິທະຍາສາດໂພລີເມີ ແລະ ຂະບວນການຜະລິດ","3(2-2-5)","BSCPHMR","3","1","12","2023-2024","3","3","","",""
"695","205RP311","ວິທີການຄົ້ນຄວ້າ","2(2-0-4)","BSCPHMR","3","1","12","2023-2024","2","2","","39",""
"715","205CG321x","ເຄືອບເຊຣາມິກ","3(2-2-5)","BSCPHMR","3","2","12","2023-2024","3","3","19","",""
"688","115HR303","ມະນຸດສຳພັນ","2(2-0-4)","BSCPHMR","3","1","1","2023-2024","2","2","","",""
"716","205GT321","ເຕັກໂນໂລຊີແກ້ວ","3(2-2-5)","BSCPHMR","3","2","12","2023-2024","3","3","","",""
"717","205OP321","ຟີຊິກແສງສະຫວ່າງ","3(2-2-5)","BSCPHMR","3","2","12","2023-2024","3","3","","",""
"718","205RM321xx","ການໝູນວຽນໃຊ້ວັດສະດຸ","3(2-2-5)","BSCPHMR","3","2","12","2023-2024","3","3","","",""
"719","205RT321","ເຕັກໂນໂລຊີຢາງ","3(2-2-5)","BSCPHMR","3","2","12","2023-2024","3","3","","",""
"720","205SP321xx","ສຳມະນາ","2(1-2-3)","BSCPHMR","3","2","12","2023-2024","2","2","","",""
"696","115PO401","ວິຊາການ​ເມືອງ","2(2-0-4)","BSCPHMR","4","1","1","2023-2024","2","2","14","",""
"","205EE421","ພະລັງງານທາງສິ່ງແວດລ້ອມ","3(3-0-6)","BSCPHMR","4","1","12","2023-2024","3","3","","",""
"","205QM3211","ກົນລະສາດຄວານຕັມ","3(2-2-5)","BSCPHMR","4","1","12","2023-2024","3","3","","",""
"","205NM421","ວັດສະດຸນາໂນ","3(2-2-5)","BSCPHMR","4","1","12","2023-2024","3","3","","",""
"","205MI221x","ແຮ່ສາດ-ສີລາສາດ","3(2-2-5)","BSCPHMR","4","1","12","2023-2024","3","3","","23",""
"697","205FP421","ບົດໂຄງການຈົບຊັ້ນ","6(0-0-30)","BSCPHMR","4","2","12","2023-2024","6","6","9","",""
"698","205TR421","ລົງເຝິກງານ","3(0-0-9)","BSCPHMR","4","2","12","2023-2024","3","3","","",""
"721","115LS101","ລາວສຶກສາ1","2(2-0-4)","BSCPHNC","1","1","1","2023-2024","2","2","17","",""
"722","145PY101","ຈິດຕະວິທະຍາ​ທົ່ວ​ໄປ","2(2-0-4)","BSCPHNC","1","1","1","2023-2024","2","2","","",""
"723","205CA111","​ແຄລຄູ​ລັດສ໌ 1","3(2-2-5)","BSCPHNC","1","1","2","2023-2024","3","3","","",""
"724","205CH111","ເຄມີສາດ 1","3(3-0-6)","BSCPHNC","1","1","2","2023-2024","3","3","","",""
"725","205CL111","ທົດລອງເຄມີສາດ 1","1(0-3-1)","BSCPHNC","1","1","2","2023-2024","1","1","","",""
"726","205ES101","ພາສາອັງກິດສໍາລັບວິທະຍາສາດ 1","2(0-4-2)","BSCPHNC","1","1","1","2023-2024","2","2","","",""
"727","205PH111","ຟີ​ຊິກ​ສາດ1","3(2-2-5)","BSCPHNC","1","1","2","2023-2024","3","3","","",""
"728","205PL111","ທົດລອງຟີຊິກສາດ 1","1(0-2-1)","BSCPHNC","1","1","2","2023-2024","1","1","","35",""
"751","135LS102","ລາວ​ສຶກສາ2","2(2-0-4)","BSCPHNC","1","2","1","2023-2024","2","2","18","",""
"752","205CA112","ແຄນ​ຄູ​ລັດ​ສ໌ 2","3(2-2-5)","BSCPHNC","1","2","2","2023-2024","3","3","","",""
"753","205CF111","ຄອມພີວເຕີພື້ນຖານ","3(2-2-5)","BSCPHNC","1","2","2","2023-2024","3","3","","",""
"754","205CH112","​ເຄມີ​ສາດ2","3(3-0-6)","BSCPHNC","1","2","2","2023-2024","3","3","","",""
"755","205CL112","ທົດ​ລອງ​ເຄມີ​ສາດ2","1(0-2-1)","BSCPHNC","1","2","2","2023-2024","1","1","","",""
"756","205ES102","ພາສາອັງກິດສໍາລັບວິທະຍາສາດ2","2(0-4-2)","BSCPHNC","1","2","1","2023-2024","2","2","","",""
"757","205PH112","ຟີ​ຊິກ​ສາດ2","3(3-0-6)","BSCPHNC","1","2","2","2023-2024","3","3","","",""
"758","205PL112","ທົດ​ລອງ​ຟີ​ຊິກ​ສາດ2","1(0-2-1)","BSCPHNC","1","2","2","2023-2024","1","1","","",""
"729","205EP211","ພາສາອັງກິດສໍາລັບຟີຊິກ 1","2(0-4-2)","BSCPHNC","2","1","2","2023-2024","2","2","16","",""
"730","205ME221x1","ອີເລກໂທຣນິກ ","3(2-2-5)","BSCPHNC","2","1","2","2023-2024","3","3","","",""
"731","221MP211","ຄະນິດສາດສໍາລັບຟີຊິກ","3(2-2-0)","BSCPHNC","2","1","2","2023-2024","3","3","","",""
"732","221NC222","ວິທະຍາສາດນິວເຄຼຍເບື້ອງຕົ້ນ","3(2-2-0)","BSCPHNC","2","1","2","2023-2024","3","3","","",""
"733","205NP221x"," ຟີຊີກນິວເຄລຍ ","3(2-2-5)","BSCPHNC","2","1","12","2023-2024","3","3","","",""
"734","205PP211","ໂປຣແກຣມສຳລັບຟິຊິກ1 ","2(1-2-3)","BSCPHNC","2","1","2","2023-2024","2","2","","",""
"759","205EP212","ພາສາອັງກິດສໍາລັບຟີຊິກ 2 ","2(0-4-2)","BSCPHNC","2","2","2","2023-2024","2","2","15","31",""
"760","205RH221","ຟີຊີກລັງສີ","3(3-0-6)","BSCPHNC","2","2","12","2023-2024","3","3","","",""
"761","205ML221xx"," ທົດລອງອີເລກໂທຣນິກ","1(0-3-1)","BSCPHNC","2","2","12","2023-2024","1","1","","",""
"762","205AP221x","ຟີຊິກອາຕອມ","3(2-2-5)","BSCPHNC","2","2","12","2023-2024","3","3","","",""
"763","205AL221x","ທົດລອງຟີຊິກອາຕອມ","1(0-3-1)","BSCPHNC","2","2","12","2023-2024","1","1","","",""
"764","205PP212","ໂປຣແກຣມສຳລັບຟິຊິກ2 ","2(1-2-3)","BSCPHNC","2","2","2","2023-2024","2","2","","",""
"765","205ND201","ສຶກສາປ້ອງກັນຕົວ","3(0-6-3)","BSCPHNC","2","2","1","2023-2024","3","3","","",""
