"ລາຍວິຊາຮຽນ 2023-2024","","","","","","","","","","","","",""
"143","205AN321","ເຄມີວິເຄາະ 1","3(3-0-6)","BSCCH","3","1","12","2023-2024","3","3","","",""
"144","205CT321","ໂຄຣມາໂຕກຣາບຟີ","2(2-0-4)","BSCCH","3","1","12","2023-2024","2","2","","",""
"145","205FE321","ເຄມີອາຫານ","2(2-0-4)","BSCCH","3","1","12","2023-2024","2","2","","",""
"146","205PH323","ເຄມີ​ຟີ​ຊິກ 3","2(2-0-4)","BSCCH","3","1","12","2023-2024","2","2","","",""
"147","205RH311","ວິທີການຄົ້ນຄວ້າ","2(2-0-4)","BSCCH","3","1","12","2023-2024","2","2","","",""
"148","205SP321","ສະເປັກໂຕສະໂກປີ","2(2-0-4)","BSCCH","3","1","12","2023-2024","2","2","","",""
"149","205WL321","ທົດ​ລອງ​ວິ​ເຄາະ​ຄຸນ​ນະພາ​ບນໍ້າ","1(0-2-1)","BSCCH","3","1","12","2023-2024","1","1","","",""
"150","205WQ321","ວິ​ເຄາະ​ຄຸນ​ນະພາ​ບນໍ້າ ​","2(2-0-4)","BSCCH","3","1","12","2023-2024","2","2","","",""
"177","115HR303","ມະນຸດສຳພັນ","2(2-0-4)","BSCCH","3","2","1","2023-2024","2","2","18","",""
"178","205AL322","ທົດລອງເຄມີວິເຄາະ 2","1(0-2-1)","BSCCH","3","2","12","2023-2024","1","1","","",""
"179","205AN322","ເຄມີວິເຄາະ 2","3(3-0-6)","BSCCH","3","2","12","2023-2024","3","3","","",""
"180","205EI321","ການ​ປະ​ເມີນ​ຜົນ​ກະ​ທົບຕໍ່​​ສິ່ງ​ແວດ​ລ້​ອມ​","2(2-0-4)","BSCCH","3","2","12","2023-2024","2","2","","",""
"181","205ET321","ພິດວິທະຍາສິ່ງແວດລ້ອມ","2(2-0-4)","BSCCH","3","2","12","2023-2024","2","2","","",""
"182","205IA321","ວິເຄາະໂດຍໃຊ້ເຄື່ອງມື","3(3-0-6)","BSCCH","3","2","12","2023-2024","3","3","","",""
